Listing_type,Location,Price,Bedroom,Bathroom,Toilet,Parking
Premium Plus Listing,"  Megamound Estate, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","95,000,000",5,5,6,6
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,5,5,0
Premium Listing,"  Canal View Estate, Osapa, Lekki, Lagos","60,000,000",4,4,5,3
Premium Listing,"  Bridge Gate Estate Lekko, Agungi, Lekki, Lagos","60,000,000",5,5,5,3
Premium Listing,"  River Park Estate Airport Road Abuja, Lugbe District, Abuja","55,000,000",4,5,5,5
Premium Listing,"  Atlantic View Off Chevron, Chevy View Estate, Lekki, Lagos","30,000,000",4,4,5,3
Premium Listing,"  Around Peace Park Transport, Utako, Abuja","170,000,000",3,4,4,4
Premium Listing,"  Magodo Isheri, GRA, Magodo, Lagos","45,000,000",4,4,5,0
Premium Listing,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos","150,000,000",5,5,6,4
Premium Listing,"  Gwarinpa, Abuja","70,000,000",3,3,4,6
N/A,N/A,0,3,3,4,6
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","75,000,000",5,4,5,0
Premium Listing,"  Osapa, Lekki, Lagos","110,000,000",5,5,6,5
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","120,000,000",5,5,6,0
Premium Listing,"  Orelope B/stop, Egbeda, Alimosho, Lagos","40,000,000",3,4,4,0
Premium Listing,"  Megamound, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","115,000,000",5,5,6,8
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,4,5,4
Premium Listing,"  Akinola Cole, Adeniyi Jones, Ikeja, Lagos","120,000,000",5,5,7,6
Premium Listing,"  Governor's Road, Maplewood Estate, Oko-oba, Agege, Lagos","70,000,000",6,6,7,5
Premium Listing,"  Chevy View Estate, Lekki, Lagos","35,000,000",4,4,5,2
Premium Listing,"  Oniru, Victoria Island (VI), Lagos","80,000,000",4,4,5,2
Premium Listing,"  Ilasan, Lekki, Lagos","55,000,000",4,4,5,2
Premium Plus Listing,"  Megamound Estate, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","95,000,000",5,5,6,6
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,5,5,0
Premium Listing,"  Canal View Estate, Osapa, Lekki, Lagos","60,000,000",4,4,5,3
Premium Listing,"  Bridge Gate Estate Lekko, Agungi, Lekki, Lagos","60,000,000",5,5,5,3
Premium Listing,"  River Park Estate Airport Road Abuja, Lugbe District, Abuja","55,000,000",4,5,5,5
Premium Listing,"  Atlantic View Off Chevron, Chevy View Estate, Lekki, Lagos","30,000,000",4,4,5,3
Premium Listing,"  Around Peace Park Transport, Utako, Abuja","170,000,000",3,4,4,4
Premium Listing,"  Magodo Isheri, GRA, Magodo, Lagos","45,000,000",4,4,5,0
Premium Listing,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos","150,000,000",5,5,6,4
Premium Listing,"  Gwarinpa, Abuja","70,000,000",3,3,4,6
N/A,N/A,0,3,3,4,6
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","75,000,000",5,4,5,0
Premium Listing,"  Osapa, Lekki, Lagos","110,000,000",5,5,6,5
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","120,000,000",5,5,6,0
Premium Listing,"  Orelope B/stop, Egbeda, Alimosho, Lagos","40,000,000",3,4,4,0
Premium Listing,"  Megamound, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","115,000,000",5,5,6,8
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,4,5,4
Premium Listing,"  Akinola Cole, Adeniyi Jones, Ikeja, Lagos","120,000,000",5,5,7,6
Premium Listing,"  Governor's Road, Maplewood Estate, Oko-oba, Agege, Lagos","70,000,000",6,6,7,5
Premium Listing,"  Chevy View Estate, Lekki, Lagos","35,000,000",4,4,5,2
Premium Listing,"  Oniru, Victoria Island (VI), Lagos","80,000,000",4,4,5,2
Premium Listing,"  Ilasan, Lekki, Lagos","55,000,000",4,4,5,2
Premium Plus Listing,"  3 Minutes From The Lekki Epe Expressway, Opposite Fara Park Estate, Sangotedo, Ajah, Lagos","8,800,000",3,3,4,3
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,5,5,0
Premium Listing,"  Canal View Estate, Osapa, Lekki, Lagos","60,000,000",4,4,5,3
Premium Listing,"  Bridge Gate Estate Lekko, Agungi, Lekki, Lagos","60,000,000",5,5,5,3
Premium Listing,"  River Park Estate Airport Road Abuja, Lugbe District, Abuja","55,000,000",4,5,5,5
Premium Listing,"  Atlantic View Off Chevron, Chevy View Estate, Lekki, Lagos","30,000,000",4,4,5,3
Premium Listing,"  Around Peace Park Transport, Utako, Abuja","170,000,000",3,4,4,4
Premium Listing,"  Magodo Isheri, GRA, Magodo, Lagos","45,000,000",4,4,5,0
Premium Listing,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos","150,000,000",5,5,6,4
Premium Listing,"  Gwarinpa, Abuja","70,000,000",3,3,4,6
N/A,N/A,0,3,3,4,6
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","75,000,000",5,4,5,0
Premium Listing,"  Osapa, Lekki, Lagos","110,000,000",5,5,6,5
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","120,000,000",5,5,6,0
Premium Listing,"  Orelope B/stop, Egbeda, Alimosho, Lagos","40,000,000",3,4,4,0
Premium Listing,"  Megamound, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","115,000,000",5,5,6,8
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,4,5,4
Premium Listing,"  Akinola Cole, Adeniyi Jones, Ikeja, Lagos","120,000,000",5,5,7,6
Premium Listing,"  Governor's Road, Maplewood Estate, Oko-oba, Agege, Lagos","70,000,000",6,6,7,5
Premium Listing,"  Chevy View Estate, Lekki, Lagos","35,000,000",4,4,5,2
Premium Listing,"  Oniru, Victoria Island (VI), Lagos","80,000,000",4,4,5,2
Premium Listing,"  Ilasan, Lekki, Lagos","55,000,000",4,4,5,2
Premium Plus Listing,"  Megamound Estate, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","95,000,000",5,5,6,6
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,5,5,0
Premium Listing,"  Canal View Estate, Osapa, Lekki, Lagos","60,000,000",4,4,5,3
Premium Listing,"  Bridge Gate Estate Lekko, Agungi, Lekki, Lagos","60,000,000",5,5,5,3
Premium Listing,"  River Park Estate Airport Road Abuja, Lugbe District, Abuja","55,000,000",4,5,5,5
Premium Listing,"  Atlantic View Off Chevron, Chevy View Estate, Lekki, Lagos","30,000,000",4,4,5,3
Premium Listing,"  Around Peace Park Transport, Utako, Abuja","170,000,000",3,4,4,4
Premium Listing,"  Magodo Isheri, GRA, Magodo, Lagos","45,000,000",4,4,5,0
Premium Listing,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos","150,000,000",5,5,6,4
Premium Listing,"  Gwarinpa, Abuja","70,000,000",3,3,4,6
N/A,N/A,0,3,3,4,6
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","75,000,000",5,4,5,0
Premium Listing,"  Osapa, Lekki, Lagos","110,000,000",5,5,6,5
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","120,000,000",5,5,6,0
Premium Listing,"  Orelope B/stop, Egbeda, Alimosho, Lagos","40,000,000",3,4,4,0
Premium Listing,"  Megamound, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","115,000,000",5,5,6,8
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,4,5,4
Premium Listing,"  Akinola Cole, Adeniyi Jones, Ikeja, Lagos","120,000,000",5,5,7,6
Premium Listing,"  Governor's Road, Maplewood Estate, Oko-oba, Agege, Lagos","70,000,000",6,6,7,5
Premium Listing,"  Chevy View Estate, Lekki, Lagos","35,000,000",4,4,5,2
Premium Listing,"  Oniru, Victoria Island (VI), Lagos","80,000,000",4,4,5,2
Premium Listing,"  Ilasan, Lekki, Lagos","55,000,000",4,4,5,2
Premium Plus Listing,"  Megamound Estate, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","95,000,000",5,5,6,6
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,5,5,0
Premium Listing,"  Canal View Estate, Osapa, Lekki, Lagos","60,000,000",4,4,5,3
Premium Listing,"  Bridge Gate Estate Lekko, Agungi, Lekki, Lagos","60,000,000",5,5,5,3
Premium Listing,"  River Park Estate Airport Road Abuja, Lugbe District, Abuja","55,000,000",4,5,5,5
Premium Listing,"  Atlantic View Off Chevron, Chevy View Estate, Lekki, Lagos","30,000,000",4,4,5,3
Premium Listing,"  Around Peace Park Transport, Utako, Abuja","170,000,000",3,4,4,4
Premium Listing,"  Magodo Isheri, GRA, Magodo, Lagos","45,000,000",4,4,5,0
Premium Listing,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos","150,000,000",5,5,6,4
Premium Listing,"  Gwarinpa, Abuja","70,000,000",3,3,4,6
N/A,N/A,0,3,3,4,6
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","75,000,000",5,4,5,0
Premium Listing,"  Osapa, Lekki, Lagos","110,000,000",5,5,6,5
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","120,000,000",5,5,6,0
Premium Listing,"  Orelope B/stop, Egbeda, Alimosho, Lagos","40,000,000",3,4,4,0
Premium Listing,"  Megamound, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","115,000,000",5,5,6,8
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,4,5,4
Premium Listing,"  Akinola Cole, Adeniyi Jones, Ikeja, Lagos","120,000,000",5,5,7,6
Premium Listing,"  Governor's Road, Maplewood Estate, Oko-oba, Agege, Lagos","70,000,000",6,6,7,5
Premium Listing,"  Chevy View Estate, Lekki, Lagos","35,000,000",4,4,5,2
Premium Listing,"  Oniru, Victoria Island (VI), Lagos","80,000,000",4,4,5,2
Premium Listing,"  Ilasan, Lekki, Lagos","55,000,000",4,4,5,2
Premium Plus Listing,"  Megamound Estate, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","95,000,000",5,5,6,6
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,5,5,0
Premium Listing,"  Canal View Estate, Osapa, Lekki, Lagos","60,000,000",4,4,5,3
Premium Listing,"  Bridge Gate Estate Lekko, Agungi, Lekki, Lagos","60,000,000",5,5,5,3
Premium Listing,"  River Park Estate Airport Road Abuja, Lugbe District, Abuja","55,000,000",4,5,5,5
Premium Listing,"  Atlantic View Off Chevron, Chevy View Estate, Lekki, Lagos","30,000,000",4,4,5,3
Premium Listing,"  Around Peace Park Transport, Utako, Abuja","170,000,000",3,4,4,4
Premium Listing,"  Magodo Isheri, GRA, Magodo, Lagos","45,000,000",4,4,5,0
Premium Listing,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos","150,000,000",5,5,6,4
Premium Listing,"  Gwarinpa, Abuja","70,000,000",3,3,4,6
N/A,N/A,0,3,3,4,6
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","75,000,000",5,4,5,0
Premium Listing,"  Osapa, Lekki, Lagos","110,000,000",5,5,6,5
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","120,000,000",5,5,6,0
Premium Listing,"  Orelope B/stop, Egbeda, Alimosho, Lagos","40,000,000",3,4,4,0
Premium Listing,"  Megamound, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","115,000,000",5,5,6,8
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,4,5,4
Premium Listing,"  Akinola Cole, Adeniyi Jones, Ikeja, Lagos","120,000,000",5,5,7,6
Premium Listing,"  Governor's Road, Maplewood Estate, Oko-oba, Agege, Lagos","70,000,000",6,6,7,5
Premium Listing,"  Chevy View Estate, Lekki, Lagos","35,000,000",4,4,5,2
Premium Listing,"  Oniru, Victoria Island (VI), Lagos","80,000,000",4,4,5,2
Premium Listing,"  Ilasan, Lekki, Lagos","55,000,000",4,4,5,2
Premium Plus Listing,"  Coker Road In Pearl Gardens Estate, Sangotedo, Ajah, Lagos","29,800,000",4,3,3,2
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,5,5,0
Premium Listing,"  Canal View Estate, Osapa, Lekki, Lagos","60,000,000",4,4,5,3
Premium Listing,"  Bridge Gate Estate Lekko, Agungi, Lekki, Lagos","60,000,000",5,5,5,3
Premium Listing,"  River Park Estate Airport Road Abuja, Lugbe District, Abuja","55,000,000",4,5,5,5
Premium Listing,"  Atlantic View Off Chevron, Chevy View Estate, Lekki, Lagos","30,000,000",4,4,5,3
Premium Listing,"  Around Peace Park Transport, Utako, Abuja","170,000,000",3,4,4,4
Premium Listing,"  Magodo Isheri, GRA, Magodo, Lagos","45,000,000",4,4,5,0
Premium Listing,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos","150,000,000",5,5,6,4
Premium Listing,"  Gwarinpa, Abuja","70,000,000",3,3,4,6
N/A,N/A,0,3,3,4,6
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","75,000,000",5,4,5,0
Premium Listing,"  Osapa, Lekki, Lagos","110,000,000",5,5,6,5
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","120,000,000",5,5,6,0
Premium Listing,"  Orelope B/stop, Egbeda, Alimosho, Lagos","40,000,000",3,4,4,0
Premium Listing,"  Megamound, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","115,000,000",5,5,6,8
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,4,5,4
Premium Listing,"  Akinola Cole, Adeniyi Jones, Ikeja, Lagos","120,000,000",5,5,7,6
Premium Listing,"  Governor's Road, Maplewood Estate, Oko-oba, Agege, Lagos","70,000,000",6,6,7,5
Premium Listing,"  Chevy View Estate, Lekki, Lagos","35,000,000",4,4,5,2
Premium Listing,"  Oniru, Victoria Island (VI), Lagos","80,000,000",4,4,5,2
Premium Listing,"  Ilasan, Lekki, Lagos","55,000,000",4,4,5,2
Premium Plus Listing,"  3 Minutes From The Lekki Epe Expressway, Opposite Fara Park Estate, Sangotedo, Ajah, Lagos","8,800,000",3,3,4,3
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,5,5,0
Premium Listing,"  Canal View Estate, Osapa, Lekki, Lagos","60,000,000",4,4,5,3
Premium Listing,"  Bridge Gate Estate Lekko, Agungi, Lekki, Lagos","60,000,000",5,5,5,3
Premium Listing,"  River Park Estate Airport Road Abuja, Lugbe District, Abuja","55,000,000",4,5,5,5
Premium Listing,"  Atlantic View Off Chevron, Chevy View Estate, Lekki, Lagos","30,000,000",4,4,5,3
Premium Listing,"  Around Peace Park Transport, Utako, Abuja","170,000,000",3,4,4,4
Premium Listing,"  Magodo Isheri, GRA, Magodo, Lagos","45,000,000",4,4,5,0
Premium Listing,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos","150,000,000",5,5,6,4
Premium Listing,"  Gwarinpa, Abuja","70,000,000",3,3,4,6
N/A,N/A,0,3,3,4,6
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","75,000,000",5,4,5,0
Premium Listing,"  Osapa, Lekki, Lagos","110,000,000",5,5,6,5
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","120,000,000",5,5,6,0
Premium Listing,"  Orelope B/stop, Egbeda, Alimosho, Lagos","40,000,000",3,4,4,0
Premium Listing,"  Megamound, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","115,000,000",5,5,6,8
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,4,5,4
Premium Listing,"  Akinola Cole, Adeniyi Jones, Ikeja, Lagos","120,000,000",5,5,7,6
Premium Listing,"  Governor's Road, Maplewood Estate, Oko-oba, Agege, Lagos","70,000,000",6,6,7,5
Premium Listing,"  Chevy View Estate, Lekki, Lagos","35,000,000",4,4,5,2
Premium Listing,"  Oniru, Victoria Island (VI), Lagos","80,000,000",4,4,5,2
Premium Listing,"  Ilasan, Lekki, Lagos","55,000,000",4,4,5,2
Premium Plus Listing,"  Megamound Estate, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","95,000,000",5,5,6,6
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,5,5,0
Premium Listing,"  Canal View Estate, Osapa, Lekki, Lagos","60,000,000",4,4,5,3
Premium Listing,"  Bridge Gate Estate Lekko, Agungi, Lekki, Lagos","60,000,000",5,5,5,3
Premium Listing,"  River Park Estate Airport Road Abuja, Lugbe District, Abuja","55,000,000",4,5,5,5
Premium Listing,"  Atlantic View Off Chevron, Chevy View Estate, Lekki, Lagos","30,000,000",4,4,5,3
Premium Listing,"  Around Peace Park Transport, Utako, Abuja","170,000,000",3,4,4,4
Premium Listing,"  Magodo Isheri, GRA, Magodo, Lagos","45,000,000",4,4,5,0
Premium Listing,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos","150,000,000",5,5,6,4
Premium Listing,"  Gwarinpa, Abuja","70,000,000",3,3,4,6
N/A,N/A,0,3,3,4,6
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","75,000,000",5,4,5,0
Premium Listing,"  Osapa, Lekki, Lagos","110,000,000",5,5,6,5
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","120,000,000",5,5,6,0
Premium Listing,"  Orelope B/stop, Egbeda, Alimosho, Lagos","40,000,000",3,4,4,0
Premium Listing,"  Megamound, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","115,000,000",5,5,6,8
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,4,5,4
Premium Listing,"  Akinola Cole, Adeniyi Jones, Ikeja, Lagos","120,000,000",5,5,7,6
Premium Listing,"  Governor's Road, Maplewood Estate, Oko-oba, Agege, Lagos","70,000,000",6,6,7,5
Premium Listing,"  Chevy View Estate, Lekki, Lagos","35,000,000",4,4,5,2
Premium Listing,"  Oniru, Victoria Island (VI), Lagos","80,000,000",4,4,5,2
Premium Listing,"  Ilasan, Lekki, Lagos","55,000,000",4,4,5,2
Premium Plus Listing,"  3 Minutes From The Lekki Epe Expressway, Opposite Fara Park Estate, Sangotedo, Ajah, Lagos","8,800,000",3,3,4,3
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,5,5,0
Premium Listing,"  Canal View Estate, Osapa, Lekki, Lagos","60,000,000",4,4,5,3
Premium Listing,"  Bridge Gate Estate Lekko, Agungi, Lekki, Lagos","60,000,000",5,5,5,3
Premium Listing,"  River Park Estate Airport Road Abuja, Lugbe District, Abuja","55,000,000",4,5,5,5
Premium Listing,"  Atlantic View Off Chevron, Chevy View Estate, Lekki, Lagos","30,000,000",4,4,5,3
Premium Listing,"  Around Peace Park Transport, Utako, Abuja","170,000,000",3,4,4,4
Premium Listing,"  Magodo Isheri, GRA, Magodo, Lagos","45,000,000",4,4,5,0
Premium Listing,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos","150,000,000",5,5,6,4
Premium Listing,"  Gwarinpa, Abuja","70,000,000",3,3,4,6
N/A,N/A,0,3,3,4,6
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","75,000,000",5,4,5,0
Premium Listing,"  Osapa, Lekki, Lagos","110,000,000",5,5,6,5
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","120,000,000",5,5,6,0
Premium Listing,"  Orelope B/stop, Egbeda, Alimosho, Lagos","40,000,000",3,4,4,0
Premium Listing,"  Megamound, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","115,000,000",5,5,6,8
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,4,5,4
Premium Listing,"  Akinola Cole, Adeniyi Jones, Ikeja, Lagos","120,000,000",5,5,7,6
Premium Listing,"  Governor's Road, Maplewood Estate, Oko-oba, Agege, Lagos","70,000,000",6,6,7,5
Premium Listing,"  Chevy View Estate, Lekki, Lagos","35,000,000",4,4,5,2
Premium Listing,"  Oniru, Victoria Island (VI), Lagos","80,000,000",4,4,5,2
Premium Listing,"  Ilasan, Lekki, Lagos","55,000,000",4,4,5,2
Premium Plus Listing,"  Coker Road In Pearl Gardens Estate, Sangotedo, Ajah, Lagos","29,800,000",4,3,3,2
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,5,5,0
Premium Listing,"  Canal View Estate, Osapa, Lekki, Lagos","60,000,000",4,4,5,3
Premium Listing,"  Bridge Gate Estate Lekko, Agungi, Lekki, Lagos","60,000,000",5,5,5,3
Premium Listing,"  River Park Estate Airport Road Abuja, Lugbe District, Abuja","55,000,000",4,5,5,5
Premium Listing,"  Atlantic View Off Chevron, Chevy View Estate, Lekki, Lagos","30,000,000",4,4,5,3
Premium Listing,"  Around Peace Park Transport, Utako, Abuja","170,000,000",3,4,4,4
Premium Listing,"  Magodo Isheri, GRA, Magodo, Lagos","45,000,000",4,4,5,0
Premium Listing,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos","150,000,000",5,5,6,4
Premium Listing,"  Gwarinpa, Abuja","70,000,000",3,3,4,6
N/A,N/A,0,3,3,4,6
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","75,000,000",5,4,5,0
Premium Listing,"  Osapa, Lekki, Lagos","110,000,000",5,5,6,5
Premium Listing,"  Omole Phase 1, Ikeja, Lagos","120,000,000",5,5,6,0
Premium Listing,"  Orelope B/stop, Egbeda, Alimosho, Lagos","40,000,000",3,4,4,0
Premium Listing,"  Megamound, Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","115,000,000",5,5,6,8
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,4,5,4
Premium Listing,"  Akinola Cole, Adeniyi Jones, Ikeja, Lagos","120,000,000",5,5,7,6
Premium Listing,"  Governor's Road, Maplewood Estate, Oko-oba, Agege, Lagos","70,000,000",6,6,7,5
Premium Listing,"  Chevy View Estate, Lekki, Lagos","35,000,000",4,4,5,2
Premium Listing,"  Oniru, Victoria Island (VI), Lagos","80,000,000",4,4,5,2
Premium Listing,"  Ilasan, Lekki, Lagos","55,000,000",4,4,5,2
Premium Plus Listing,"  3 Minutes From The Lekki Epe Expressway, Opposite Fara Park Estate, Sangotedo, Ajah, Lagos","8,800,000",3,3,4,3
Premium Listing,"  Osapa, Lekki, Lagos","60,000,000",4,5,5,0
Premium Listing,"  Canal View Estate, Osapa, Lekki, Lagos","60,000,000",4,4,5,3
Premium Listing,"  Bridge Gate Estate Lekko, Agungi, Lekki, Lagos","60,000,000",5,5,5,3
Premium Listing,"  River Park Estate Airport Road Abuja, Lugbe District, Abuja","55,000,000",4,5,5,5
Premium Listing,"  Atlantic View Off Chevron, Chevy View Estate, Lekki, Lagos","30,000,000",4,4,5,3
Premium Listing,"  Around Peace Park Transport, Utako, Abuja","170,000,000",3,4,4,4
Premium Listing,"  Magodo Isheri, GRA, Magodo, Lagos","45,000,000",4,4,5,0
Premium Listing,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos","150,000,000",5,5,6,4
